Date : 2020-04-11 10:52:48
Directory : /Users/bmixo/Desktop/dart/download
Total : 53 files,  4354 codes, 192 comments, 445 blanks, all 4991 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Dart         |         13 |      3,352 |        160 |        293 |      3,805 |
| Go           |          7 |        341 |         10 |         48 |        399 |
| XML          |         14 |        201 |         15 |         12 |        228 |
| JSON         |          2 |        145 |          0 |          1 |        146 |
| Groovy       |          3 |         96 |          0 |         19 |        115 |
| Markdown     |          2 |         68 |          0 |         25 |         93 |
| Batch        |          1 |         66 |          0 |         25 |         91 |
| YAML         |          2 |         27 |          2 |          5 |         34 |
| Objective-C  |          2 |         16 |          1 |          6 |         23 |
| Java         |          1 |         12 |          0 |          4 |         16 |
| HTML         |          1 |         10 |          0 |          0 |         10 |
| Shell Script |          1 |          9 |          2 |          1 |         12 |
| Properties   |          3 |          7 |          2 |          3 |         12 |
| C++          |          1 |          4 |          0 |          3 |          7 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         53 |      4,354 |        192 |        445 |      4,991 |
| android                                                                                              |         16 |        262 |         14 |         57 |        333 |
| android/app                                                                                          |         11 |        153 |         13 |         21 |        187 |
| android/app/src                                                                                      |         10 |         94 |         13 |         11 |        118 |
| android/app/src/main                                                                                 |         10 |         94 |         13 |         11 |        118 |
| android/app/src/main/java                                                                            |          1 |         12 |          0 |          4 |         16 |
| android/app/src/main/java/com                                                                        |          1 |         12 |          0 |          4 |         16 |
| android/app/src/main/java/com/trentpiercy                                                            |          1 |         12 |          0 |          4 |         16 |
| android/app/src/main/java/com/trentpiercy/trace                                                      |          1 |         12 |          0 |          4 |         16 |
| android/app/src/main/res                                                                             |          8 |         56 |          0 |          4 |         60 |
| android/app/src/main/res/drawable                                                                    |          5 |         43 |          0 |          2 |         45 |
| android/app/src/main/res/mipmap-anydpi                                                               |          1 |          4 |          0 |          0 |          4 |
| android/app/src/main/res/values                                                                      |          2 |          9 |          0 |          2 |         11 |
| android/gradle                                                                                       |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                               |          1 |          5 |          1 |          1 |          7 |
| go                                                                                                   |          9 |        358 |         12 |         52 |        422 |
| go/cmd                                                                                               |          7 |        341 |         10 |         48 |        399 |
| ios                                                                                                  |          9 |        238 |          5 |         15 |        258 |
| ios/Flutter                                                                                          |          1 |          9 |          2 |          1 |         12 |
| ios/Runner                                                                                           |          8 |        229 |          3 |         14 |        246 |
| ios/Runner/Assets.xcassets                                                                           |          3 |        148 |          0 |          3 |        151 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                        |          1 |        122 |          0 |          0 |        122 |
